Make,Variant,"Length 
(ft)",Geographic Region,Country/Region/State ,Listing Price (USD),Year,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type,latitude,longitude, Climate Type,Country Code,2020_ave,2020_tol
Lagoon,410,40.5,USA,Florida,235000,2005,7.09,1.2,7/8 fractional rig,7980.0,85.0,Polyester,12.0,1.98,500.0,300.0,2x29,12.37,11.88,Diesel,300,Fixed keel,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Broadblue,415,42.0,Caribbean,Grenada,330000,2005,6.88,1.07,Sloop or cutter,9800.0,105.0,Fiberglass,8.0,1.96,660.0,660.0,2x39,12.6,11.72,Diesel,None,Fixed keel,12.1360374,-61.6904045, Af,GRD,8437.56673228706,1043414814.8148148
Manta,42mkii,42.0,USA,Florida,269500,2005,6.71,1.29,Fractional sloop,11000.0,93.0,Fiberglass,6.0,1.96,800.0,600.0,2x40,12.8,None,Diesel,220,Fixed keel,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Manta,42mkii,42.0,USA,Florida,249900,2005,6.71,1.29,Fractional sloop,11000.0,93.0,Fiberglass,6.0,1.96,800.0,600.0,2x40,12.8,None,Diesel,220,Fixed keel,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Manta,42mkii,42.0,USA,Florida,249900,2005,6.71,1.29,Fractional sloop,11000.0,93.0,Fiberglass,6.0,1.96,800.0,600.0,2x40,12.8,None,Diesel,220,Fixed keel,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Knysna,440,44.0,Caribbean,Grenada,230000,2005,7.95,1.27,Sloop or cutter,12000.0,126.0,Fiberglass,6.0,2.0,880.0,880.0,2x56,13.4,12.24,Diesel,200,Bulb fin keel,12.1360374,-61.6904045, Af,GRD,8437.56673228706,1043414814.8148148
Lagoon,440,44.6,Caribbean,Martinique,349833,2005,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,14.6367927,-61.01582685, Af,FRA,39055.2829280754,2639008701648.2563
Lagoon,440,44.6,Caribbean,Martinique,349560,2005,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,14.6367927,-61.01582685, Af,FRA,39055.2829280754,2639008701648.2563
Lagoon,440,44.6,USA,Georgia,379000,2005,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,32.3293809,-83.1137366, Cfa/Cwa,USA,63530.63348390901,21060473613000.0
Lagoon,440,44.6,USA,Florida,320000,2005,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Lagoon,440,44.6,USA,Florida,320000,2005,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Fountaine Pajot,bahia46,46.0,Caribbean,Martinique,255179,2005,7.3,1.3,None,10000.0,126.0,Fiberglass,10,2.05,600.0,800.0,2 x 40,14.0,13.5,Diesel,80,Foam sandwich,14.6367927,-61.01582685, Af,FRA,39055.2829280754,2639008701648.2563
Fountaine Pajot,bahia46,46.0,Caribbean,Martinique,254636,2005,7.3,1.3,None,10000.0,126.0,Fiberglass,10,2.05,600.0,800.0,2 x 40,14.0,13.5,Diesel,80,Foam sandwich,14.6367927,-61.01582685, Af,FRA,39055.2829280754,2639008701648.2563
Fountaine Pajot,bahia46,46.0,USA,Florida,229000,2005,7.3,1.3,None,10000.0,126.0,Fiberglass,10,2.05,600.0,800.0,2 x 40,14.0,13.5,Diesel,80,Foam sandwich,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Nautitech,47,47.0,Caribbean,Dominican Republic,266761,2005,7.54,1.2,None,11800.0,123.0,Fiberglass,10,2.05,700.0,600.0,2 x 55,14.5,13.8,Diesel,120,Fixed keel,19.0974031,-70.3028026, Am,DOM,7167.919159083272,78844702329.07854
Leopard,47,47.0,Caribbean,U.S. Virgin Islands,235000,2005,7.57,1.35,None,15000.0,168.0,Fiberglass,6,2.04,700.0,1000.0,2 x 54,14.33,13.11,Diesel,211,Fixed keel,17.789187,-64.7080574, Am,VIR,39552.16859535234,4204000000.0
Fountaine Pajot,athena38,38.0,Europe,Croatia,163694,2006,6.3,1.1,None,7000.0,83.0,Fiberglass,6,1.85,200.0,400.0,2 x 19,11.6,11.0,Diesel,80,Fixed keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Fountaine Pajot,athena38,38.0,Europe,Croatia,146864,2006,6.3,1.1,None,7000.0,83.0,Fiberglass,6,1.85,200.0,400.0,2 x 19,11.6,11.0,Diesel,80,Fixed keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Fountaine Pajot,athena38,38.0,Europe,Croatia,146719,2006,6.3,1.1,None,7000.0,83.0,Fiberglass,6,1.85,200.0,400.0,2 x 19,11.6,11.0,Diesel,80,Fixed keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Fountaine Pajot,athena38,38.0,Europe,Croatia,140188,2006,6.3,1.1,None,7000.0,83.0,Fiberglass,6,1.85,200.0,400.0,2 x 19,11.6,11.0,Diesel,80,Fixed keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Fountaine Pajot,athena38,38.0,Europe,Croatia,133138,2006,6.3,1.1,None,7000.0,83.0,Fiberglass,6,1.85,200.0,400.0,2 x 19,11.6,11.0,Diesel,80,Fixed keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Broadblue,385,38.7,Europe,Spain,223109,2006,6.86,1.15,None,8500.0,95.0,Fiberglass,8,1.98,400.0,600.0,None,11.99,11.6,Diesel,100,Skeg hung rudder,39.3260685,-4.8379791, Csa,ESP,26959.67543673264,1276962685648.2524
Broadblue,385,38.7,Europe,United Kingdom,220542,2006,6.86,1.15,None,8500.0,95.0,Fiberglass,8,1.98,400.0,600.0,None,11.99,11.6,Diesel,100,Skeg hung rudder,54.7023545,-3.2765753, Cfb,GBR,40318.55756604926,2704609160088.1504
Broadblue,385,38.7,Europe,Spain,220475,2006,6.86,1.15,None,8500.0,95.0,Fiberglass,8,1.98,400.0,600.0,None,11.99,11.6,Diesel,100,Skeg hung rudder,39.3260685,-4.8379791, Csa,ESP,26959.67543673264,1276962685648.2524
Broadblue,385,38.7,Europe,United Kingdom,219923,2006,6.86,1.15,None,8500.0,95.0,Fiberglass,8,1.98,400.0,600.0,None,11.99,11.6,Diesel,100,Skeg hung rudder,54.7023545,-3.2765753, Cfb,GBR,40318.55756604926,2704609160088.1504
Broadblue,385,38.7,Europe,Spain,219766,2006,6.86,1.15,None,8500.0,95.0,Fiberglass,8,1.98,400.0,600.0,None,11.99,11.6,Diesel,100,Skeg hung rudder,39.3260685,-4.8379791, Csa,ESP,26959.67543673264,1276962685648.2524
Fountaine Pajot,lavezzi40,39.0,Europe,Greece,200642,2006,6.72,1.1,7/8 fractional rig,7200.0,81.0,Polyester,8.0,1.95,280.0,600.0,2x30,11.9,11.5,Diesel,80,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Fountaine Pajot,lavezzi40,39.0,Europe,Italy,188482,2006,6.72,1.1,7/8 fractional rig,7200.0,81.0,Polyester,8.0,1.95,280.0,600.0,2x30,11.9,11.5,Diesel,80,Fixed keel,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1367
Leopard,40,39.0,USA,Washington,239000,2006,6.23,1.22,Staysail ketch,10300.0,99.0,Fiberglass,6.0,1.96,360.0,780.0,2x30,12.22,11.36,Diesel,210,Bulb fin keel,38.8950368,-77.0365427, Cfb,USA,63530.63348390901,21060473613000.0
Fountaine Pajot,lavezzi40,39.0,USA,Texas,219000,2006,6.72,1.1,7/8 fractional rig,7200.0,81.0,Polyester,8.0,1.95,280.0,600.0,2x30,11.9,11.5,Diesel,80,Fixed keel,31.2638905,-98.5456116, Cfa/BSh,USA,63530.63348390901,21060473613000.0
Leopard,40,39.0,USA,Florida,215500,2006,6.23,1.22,Staysail ketch,10300.0,99.0,Fiberglass,6.0,1.96,360.0,780.0,2x30,12.22,11.36,Diesel,210,Bulb fin keel,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Nautitech,40,39.5,Europe,Greece,217401,2006,6.91,1.2,Fractional sloop,7500.0,86.0,Fiberglass,8.0,1.95,440.0,220.0,2x20,11.98,11.25,Diesel,None,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Nautitech,40,39.5,Europe,Greece,217047,2006,6.91,1.2,Fractional sloop,7500.0,86.0,Fiberglass,8.0,1.95,440.0,220.0,2x20,11.98,11.25,Diesel,None,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Nautitech,40,39.5,Europe,Italy,206722,2006,6.91,1.2,Fractional sloop,7500.0,86.0,Fiberglass,8.0,1.95,440.0,220.0,2x20,11.98,11.25,Diesel,None,Fixed keel,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1367
Nautitech,40,39.5,Europe,Greece,206551,2006,6.91,1.2,Fractional sloop,7500.0,86.0,Fiberglass,8.0,1.95,440.0,220.0,2x20,11.98,11.25,Diesel,None,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Nautitech,40,39.5,Europe,Greece,206337,2006,6.91,1.2,Fractional sloop,7500.0,86.0,Fiberglass,8.0,1.95,440.0,220.0,2x20,11.98,11.25,Diesel,None,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Nautitech,40,39.5,Europe,Greece,192796,2006,6.91,1.2,Fractional sloop,7500.0,86.0,Fiberglass,8.0,1.95,440.0,220.0,2x20,11.98,11.25,Diesel,None,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Nautitech,40,39.5,Europe,Greece,191772,2006,6.91,1.2,Fractional sloop,7500.0,86.0,Fiberglass,8.0,1.95,440.0,220.0,2x20,11.98,11.25,Diesel,None,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Nautitech,402,40.0,USA,Florida,199990,2006,6.35,1.2,None,9000.0,99.0,Fiberglass,10,2.05,200.0,800.0,2 x 29,11.98,11.4,Diesel,60,Semi-elliptic,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Lagoon,410-s2,40.6,Europe,Spain,302787,2006,7.25,1.22,7/8 fractional rig,9000.0,100.0,Polyester,12.0,1.98,600.0,300.0,2x40,12.61,12.21,Diesel,300,Fixed keel,39.3260685,-4.8379791, Csa,ESP,26959.67543673264,1276962685648.2524
Lagoon,420,41.0,Europe,Italy,358698,2006,7.5,1.2,None,12152.0,110.0,Fiberglass,8,2.05,600.0,780.0,2 x 40,12.61,12.54,Diesel,300,Fixed keel,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1367
Maine Cat,41,41.6,USA,New York,349000,2006,7.32,0.81,None,6000.0,92.9,Fiberglass,7,1.96,340.0,450.0,2 x 29,12.5,11.58,Diesel,151,Fixed keel,40.7127281,-74.0060152, Dfa,USA,63530.63348390901,21060473613000.0
Manta,42mkii,42.0,USA,Florida,269900,2006,6.71,1.29,Fractional sloop,11000.0,93.0,Fiberglass,6.0,1.96,800.0,600.0,2x40,12.8,None,Diesel,220,Fixed keel,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Leopard,43,42.5,Europe,Italy,206708,2006,7.06,1.47,None,12000.0,123.0,Fiberglass,6,2.08,700.0,800.0,2 x 39,13.1,12.4,Diesel,170,Fixed keel,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1367
Fountaine Pajot,belize43,42.65,USA,Florida,275000,2006,7.3,1.2,None,10000.0,105.0,Fiberglass,8,2.05,600.0,700.0,2 x 39,13.1,12.9,Diesel,80,Fixed keel,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Privilege,435,43.0,Caribbean,Guatemala,345100,2006,7.94,1.57,None,12770.0,145.5,Fiberglass,8,1.95,720.0,1000.0,2 x 55,13.28,12.6,Diesel,120,Fixed keel,15.5855545,-90.345759, Am,GTM,4604.576678978645,77625486978.25609
Privilege,435,43.0,Caribbean,Guatemala,344705,2006,7.94,1.57,None,12770.0,145.5,Fiberglass,8,1.95,720.0,1000.0,2 x 55,13.28,12.6,Diesel,120,Fixed keel,15.5855545,-90.345759, Am,GTM,4604.576678978645,77625486978.25609
Privilege,435,43.0,Caribbean,Mexico,344705,2006,7.94,1.57,None,12770.0,145.5,Fiberglass,8,1.95,720.0,1000.0,2 x 55,13.28,12.6,Diesel,120,Fixed keel,23.6585116,-102.0077097, BWh/BSh,MEX,8655.000682068028,1090515389749.4136
Privilege,435,43.0,Caribbean,Mexico,315000,2006,7.94,1.57,None,12770.0,145.5,Fiberglass,8,1.95,720.0,1000.0,2 x 55,13.28,12.6,Diesel,120,Fixed keel,23.6585116,-102.0077097, BWh/BSh,MEX,8655.000682068028,1090515389749.4136
Broadblue,435,43.6,Europe,Greece,267617,2006,7.08,1.2,None,11250.0,114.0,Fiberglass,8,2.04,600.0,800.0,2 x 40,13.25,12.15,Diesel,200,None,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Lagoon,440,44.6,Europe,Greece,325285,2006,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Lagoon,440,44.6,Europe,Greece,321976,2006,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Lagoon,440,44.6,Europe,Greece,321644,2006,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Lagoon,440,44.6,Europe,Italy,309826,2006,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1367
Lagoon,440,44.6,Europe,Italy,309506,2006,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1367
Lagoon,440,44.6,Europe,Italy,303751,2006,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1367
Lagoon,440,44.6,Europe,Italy,303437,2006,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1367
Lagoon,440,44.6,Europe,Croatia,267301,2006,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Lagoon,440,44.6,Europe,Croatia,267025,2006,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Lagoon,440,44.6,Europe,Croatia,267025,2006,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,45.3658443,15.6575209, Csa,HRV,14198.75395947438,57472012426.68527
Lagoon,440,44.6,USA,Florida,349000,2006,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,27.7567667,-81.4639835, Af/Am,USA,63530.63348390901,21060473613000.0
Fountaine Pajot,bahia46,46.0,Caribbean,Martinique,346315,2006,7.3,1.3,None,10000.0,126.0,Fiberglass,10,2.05,600.0,800.0,2 x 40,14.0,13.5,Diesel,80,Foam sandwich,14.6367927,-61.01582685, Af,FRA,39055.2829280754,2639008701648.2563
Fountaine Pajot,bahia46,46.0,Caribbean,Martinique,345577,2006,7.3,1.3,None,10000.0,126.0,Fiberglass,10,2.05,600.0,800.0,2 x 40,14.0,13.5,Diesel,80,Foam sandwich,14.6367927,-61.01582685, Af,FRA,39055.2829280754,2639008701648.2563
Fountaine Pajot,pajotbahia46,46.0,Europe,Italy,242939,2006,7.3,1.3,None,10000.0,126.0,Fiberglass,10,2.05,600.0,800.0,2 x 40,14.0,13.5,Diesel,80,Foam sandwich,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1367
Fountaine Pajot,bahia46,46.0,Europe,Italy,242510,2006,7.3,1.3,None,10000.0,126.0,Fiberglass,10,2.05,600.0,800.0,2 x 40,14.0,13.5,Diesel,80,Foam sandwich,42.6384261,12.674297, Csa,ITA,31911.035789001668,1896755301518.1367
Catana,47oceanclass,47.0,Caribbean,Guatemala,516769,2006,7.64,1.22,None,12500.0,154.0,Fiberglass,6,2.0,600.0,800.0,2 x 55,14.02,13.28,Diesel,300,Fixed keel,15.5855545,-90.345759, Am,GTM,4604.576678978645,77625486978.25609
Leopard,47,47.0,Caribbean,Honduras,257061,2006,7.57,1.35,None,15000.0,168.0,Fiberglass,6,2.04,700.0,1000.0,2 x 54,14.33,13.11,Diesel,211,Fixed keel,15.2572432,-86.0755145, Am,HND,2354.1196143104166,23827840809.701447
Nautitech,47,47.0,Europe,Greece,498026,2006,7.54,1.2,None,11800.0,123.0,Fiberglass,10,2.05,700.0,600.0,2 x 55,14.5,13.8,Diesel,120,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Nautitech,47,47.0,Europe,Greece,497637,2006,7.54,1.2,None,11800.0,123.0,Fiberglass,10,2.05,700.0,600.0,2 x 55,14.5,13.8,Diesel,120,Fixed keel,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Lagoon,50ownersversion,48.0,Caribbean,Martinique,450000,2006,,,,,,,,,,,,,,,,,14.6367927,-61.01582685, Af,FRA,39055.2829280754,2639008701648.2563
Lagoon,50,48.0,Caribbean,British Virgin Islands,449000,2006,8.88,1.5,None,20000.0,172.0,Fiberglass,10,2.05,1040.0,700.0,2 x 57,15.54,15.24,Diesel,240,None,18.4024395,-64.5661642, Am,GBR,40318.55756604926,2704609160088.1504
Lagoon,500,51.0,Europe,Spain,515334,2006,8.53,1.3,None,17000.0,160.0,Fiberglass,12,2.05,1000.0,960.0,2 x 75,15.54,15.0,Diesel,300,None,39.3260685,-4.8379791, Csa,ESP,26959.67543673264,1276962685648.2524
Lagoon,500,51.0,Europe,Greece,515334,2006,8.53,1.3,None,17000.0,160.0,Fiberglass,12,2.05,1000.0,960.0,2 x 75,15.54,15.0,Diesel,300,None,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Lagoon,500,51.0,Europe,Greece,461585,2006,8.53,1.3,None,17000.0,160.0,Fiberglass,12,2.05,1000.0,960.0,2 x 75,15.54,15.0,Diesel,300,None,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Lagoon,500,51.0,Europe,Greece,461225,2006,8.53,1.3,None,17000.0,160.0,Fiberglass,12,2.05,1000.0,960.0,2 x 75,15.54,15.0,Diesel,300,None,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Lagoon,500,51.0,Europe,Greece,423929,2006,8.53,1.3,None,17000.0,160.0,Fiberglass,12,2.05,1000.0,960.0,2 x 75,15.54,15.0,Diesel,300,None,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Lagoon,500,51.0,Europe,Greece,423599,2006,8.53,1.3,None,17000.0,160.0,Fiberglass,12,2.05,1000.0,960.0,2 x 75,15.54,15.0,Diesel,300,None,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Lagoon,500,51.0,Europe,Greece,418330,2006,8.53,1.3,None,17000.0,160.0,Fiberglass,12,2.05,1000.0,960.0,2 x 75,15.54,15.0,Diesel,300,None,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Lagoon,380s2,38.0,USA,Maryland,226900,2007,6.53,1.15,None,7260.0,77.0,Fiberglass,8,2.01,200.0,300.0,None,11.55,11.0,Diesel,80,Fixed keel,39.5162401,-76.9382069, Cfa,USA,63530.63348390901,21060473613000.0
Broadblue,385,38.7,Europe,Greece,202496,2007,6.86,1.15,None,8500.0,95.0,Fiberglass,8,1.98,400.0,600.0,None,11.99,11.6,Diesel,100,Skeg hung rudder,38.9953683,21.9877132, Csa,GRC,17658.947301119217,188925995936.8068
Broadblue,385,38.7,Europe,United Kingdom,200493,2007,6.86,1.15,None,8500.0,95.0,Fiberglass,8,1.98,400.0,600.0,None,11.99,11.6,Diesel,100,Skeg hung rudder,54.7023545,-3.2765753, Cfb,GBR,40318.55756604926,2704609160088.1504
Lagoon,420,41.0,Europe,Germany,314925,2007,7.5,1.2,None,12152.0,110.0,Fiberglass,8,2.05,600.0,780.0,2 x 40,12.61,12.54,Diesel,300,Fixed keel,51.1638175,10.4478313, Cfb,DEU,46772.82535075447,3889668895299.6216
Fountaine Pajot,orana44,43.0,Caribbean,Puerto Rico,315000,2007,7.35,1.2,None,11000.0,98.0,Fiberglass,8,2.05,600.0,750.0,2 x 40,13.1,12.9,Diesel,80,Fixed keel,18.2247706,-66.4858295, Am,PRI,31393.90736904464,103020300000.0
Fountaine Pajot,orana44,43.0,USA,Maryland,320000,2007,7.35,1.2,None,11000.0,98.0,Fiberglass,8,2.05,600.0,750.0,2 x 40,13.1,12.9,Diesel,80,Fixed keel,39.5162401,-76.9382069, Cfa,USA,63530.63348390901,21060473613000.0
Knysna,440,44.0,Caribbean,Trinidad and Tobago,220000,2007,7.95,1.27,Sloop or cutter,12000.0,126.0,Fiberglass,6.0,2.0,880.0,880.0,2x56,13.4,12.24,Diesel,200,Bulb fin keel,10.7466905,-61.0840075, Af,TTO,13871.798219466396,21059428851.48825
Lagoon,440,44.6,Caribbean,Martinique,376556,2007,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,14.6367927,-61.01582685, Af,FRA,39055.2829280754,2639008701648.2563
Lagoon,440,44.6,Caribbean,Martinique,376262,2007,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,14.6367927,-61.01582685, Af,FRA,39055.2829280754,2639008701648.2563
Lagoon,440,44.6,Caribbean,Netherlands Antilles,310000,2007,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,12.1845,-68.66079226, Am,,,
Lagoon,440,44.6,Europe,Spain,394877,2007,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,39.3260685,-4.8379791, Csa,ESP,26959.67543673264,1276962685648.2524
Lagoon,440,44.6,Europe,Spain,394469,2007,7.7,1.3,7/8 fractional rig,12000.0,125.0,Polyester,10.0,1.98,700.0,900.0,2x40,13.61,12.76,Diesel,300,Fixed keel,39.3260685,-4.8379791, Csa,ESP,26959.67543673264,1276962685648.2524
