Country/Region/State ,latitude,longitude, Climate Type,Country Code,2020_ave,2020_tol
Oregon,43.9792797,-120.737257, Cfb,USA,63530.63348390901,21060473613000.0
Romania,45.9852129,24.6859225, Cfb/Dfb,ROU,13047.432061759073,251362040527.804
Massachusetts,42.3788774,-72.032366, Dfa,USA,63530.63348390901,21060473613000.0
Sweden,59.6749712,14.5208584, Cfb,SWE,52837.9039778149,547054174235.87585
Cork,51.897077,-8.4654674, Cfb,IRL,85420.19085560966,425852281928.12103
New Jersey,40.0757384,-74.4041622, Dfa,USA,63530.63348390901,21060473613000.0
Wisconsin,44.4308975,-89.6884637, Dfb,USA,63530.63348390901,21060473613000.0
Ohio,40.2253569,-82.6881395, Dfa,USA,63530.63348390901,21060473613000.0
Gibraltar,36.1285933,-5.3474761, Csa,GBR,40318.55756604926,2704609160088.1504
Belgium,50.6402809,4.6667145, Cfb,BEL,45517.79493018466,525211810652.60846
Bulgaria,42.6073975,25.4856617, Cfb,BGR,10129.812959763765,70240275010.19635
Saint Lucia,13.8250489,-60.975036, Am,LCA,8458.162760673898,1516015718.7349074
West Indies,50.83635905,0.46178908, Aw,,,
Dominican Republic,19.0974031,-70.3028026, Am,DOM,7167.919159083272,78844702329.07854
Guadeloupe,16.2528827,-61.5686855, Am,FRA,39055.2829280754,2639008701648.2563
Louisiana,30.8703881,-92.007126, Cfa,USA,63530.63348390901,21060473613000.0
Mississippi,32.9715285,-89.7348497, Cfa,USA,63530.63348390901,21060473613000.0
Monaco,43.7323492,7.4276832, Csa,MCO,182538.6383402107,6739691604.797259
Puerto Rico,18.2247706,-66.4858295, Am,PRI,31393.90736904464,103020300000.0
British Virgin Islands,18.4024395,-64.5661642, Am,GBR,40318.55756604926,2704609160088.1504
Sint Maarten (Dutch part),18.0155138,-63.04510233, Am,NLD,52162.570115040624,909793466661.4811
Aruba,12.51756625,-69.98186415, Aw,ABW,24487.863560196583,2610038937.563553
Switzerland,46.7985624,8.2319736, Dfc,CHE,85656.32266630701,739913619797.4452
U.S. Virgin Islands,17.789187,-64.7080574, Am,VIR,39552.16859535234,4204000000.0
Saint Vincent and the Grenadines,12.90447,-61.2765569, Am,VCT,8335.256475605507,872134555.5555555
Guatemala,15.5855545,-90.345759, Am,GTM,4604.576678978645,77625486978.25609
Norway,61.1529386,8.7876653, Cfb/Dfb,NOR,67329.67779109669,362198318435.2599
Jersey,49.2214561,-2.1358386, Cfb,GBR,40318.55756604926,2704609160088.1504
Saint Kitts and Nevis,17.250512,-62.6725973, Am,KNA,18566.09558637181,884525925.9259259
Hungary,47.1817585,19.5060937, Cfb,HUN,16120.98904952426,157182045260.22992
Belize,16.8259793,-88.7600927, Am,BLZ,5266.876160042135,2080000000.0
Honduras,15.2572432,-86.0755145, Am,HND,2354.1196143104166,23827840809.701447
Cayman Islands,19.70318225,-79.91746272, Aw,CYM,83329.45877446454,5608989199.567983
Saint-Martin,18.0814066,-63.0467131, Am,FRA,39055.2829280754,2639008701648.2563
Lagos,6.4550575,3.3941795, Am,NGA,2074.6139280243833,432198936002.1765
Barbados,13.1500331,-59.5250305, Am,BRB,16643.806578717675,4671800000.0
